ID,CUENTA,MONTO_SOLES,FECHA_TRANSAX
ID12796,CORRIENTE,150.32,07/02/2016
ID12797,AHORRO,1211.89,30/07/2016
ID12797,CORRIENTE,512.92,09/08/2016
ID12798,AHORRO,541.13,21/12/2016
ID12798,CORRIENTE,735.48,21/05/2016
ID12799,AHORRO,298.15,19/07/2016
ID12799,CORRIENTE,55.43,28/10/2016
ID12800,AHORRO,88.85,26/02/2016
ID12800,CORRIENTE,610.90,29/07/2016
ID12801,AHORRO,319.55,17/12/2016
ID12802,CORRIENTE,1034.09,27/05/2016
ID12802,CORRIENTE,1311.47,22/07/2016
ID12803,AHORRO,1471.71,13/07/2016
ID12804,AHORRO,2209.38,16/04/2016
ID12804,CORRIENTE,1204.61,02/05/2016
ID12805,CORRIENTE,5171.41,07/11/2016
ID12806,CORRIENTE,2420.34,18/06/2016
ID12807,CORRIENTE,4546.00,11/02/2016
ID12807,CORRIENTE,398.05,20/05/2016
ID12808,AHORRO,226.00,20/07/2016
ID12808,CORRIENTE,1320.70,23/05/2016
ID12809,AHORRO,286.12,07/03/2016
ID12809,CORRIENTE,790.20,06/09/2016
ID12810,CORRIENTE,808.33,14/05/2016
ID12811,AHORRO,260.21,12/06/2016
ID12812,CORRIENTE,915.79,16/01/2016
ID12813,CORRIENTE,328.92,04/02/2016
ID12813,CORRIENTE,276.39,23/03/2016
ID12814,CORRIENTE,103.01,03/02/2016
ID12815,CORRIENTE,52.48,07/08/2016
ID12816,AHORRO,113.88,10/03/2016
ID12816,CORRIENTE,46.50,21/09/2016
ID12817,CORRIENTE,67.91,24/12/2016
ID12817,CORRIENTE,258.93,25/07/2016
ID12818,AHORRO,321.24,22/04/2016
ID12818,CORRIENTE,336.33,03/09/2016
ID12819,AHORRO,114.18,13/02/2016
ID12819,CORRIENTE,269.33,08/02/2016
ID12819,CORRIENTE,328.54,23/09/2016
ID12820,CORRIENTE,473.40,27/03/2016
ID12821,AHORRO,195.22,07/04/2016
ID12821,CORRIENTE,276.72,10/08/2016
ID12821,CORRIENTE,2117.75,22/12/2016
ID12822,AHORRO,184.56,28/04/2016
ID12822,CORRIENTE,144.80,05/05/2016
ID12822,CORRIENTE,391.72,16/01/2016
ID12823,CORRIENTE,305.05,05/09/2016
ID12823,CORRIENTE,1103.16,28/02/2016
ID12824,CORRIENTE,118.85,17/02/2016
ID12825,AHORRO,349.62,09/03/2016
ID12825,CORRIENTE,215.60,20/11/2016
ID12825,CORRIENTE,2042.54,20/08/2016
ID12826,AHORRO,290.16,26/09/2016
ID12827,CORRIENTE,2888.96,03/10/2016
ID12827,CORRIENTE,300.28,13/05/2016
ID12828,AHORRO,410.17,18/11/2016
ID12828,CORRIENTE,1490.77,26/08/2016
ID12828,CORRIENTE,276.75,07/03/2016
ID12829,CORRIENTE,90.92,09/10/2016
ID12830,AHORRO,99.69,07/02/2016
ID12830,CORRIENTE,142.52,30/07/2016
ID12831,AHORRO,158.13,09/08/2016
ID12831,CORRIENTE,1102.12,21/12/2016
ID12832,CORRIENTE,1140.76,21/05/2016
ID12832,CORRIENTE,1171.01,19/07/2016
ID12833,CORRIENTE,129.51,28/10/2016
ID12834,AHORRO,96.79,26/02/2016
ID12834,CORRIENTE,69.20,29/07/2016
ID12835,AHORRO,87.81,31/12/2016
ID12835,CORRIENTE,123.14,27/05/2016
ID12836,AHORRO,1183.21,22/07/2016
ID12836,CORRIENTE,487.88,13/07/2016
ID12837,AHORRO,592.27,16/04/2016
ID12837,CORRIENTE,710.20,02/05/2016
ID12837,AHORRO,242.50,07/11/2016
ID12838,CORRIENTE,84.96,18/06/2016
ID12839,CORRIENTE,646.77,11/02/2016
ID12840,CORRIENTE,255.13,20/05/2016
ID12841,AHORRO,1098.85,20/07/2016
ID12841,CORRIENTE,1335.06,23/05/2016
ID12841,CORRIENTE,1457.16,07/03/2016
ID12842,AHORRO,2223.88,06/09/2016
ID12842,CORRIENTE,1189.10,14/05/2016
ID12843,CORRIENTE,5114.44,12/06/2016
ID12843,CORRIENTE,2358.85,16/01/2016
ID12844,AHORRO,2217.87,04/02/2016
ID12844,CORRIENTE,4537.58,23/03/2016
ID12845,AHORRO,338.00,03/02/2016
ID12845,CORRIENTE,208.21,31/08/2016
ID12846,CORRIENTE,1362.19,10/03/2016
ID12847,AHORRO,257.11,21/09/2016
ID12847,CORRIENTE,836.14,24/12/2016
ID12848,AHORRO,836.09,25/07/2016
ID12848,CORRIENTE,350.57,22/04/2016
ID12849,AHORRO,856.38,03/09/2016
ID12849,CORRIENTE,314.09,13/02/2016
ID12850,AHORRO,275.96,08/02/2016
ID12850,CORRIENTE,50.51,23/09/2016
ID12851,CORRIENTE,123.47,27/03/2016
ID12851,CORRIENTE,153.64,07/04/2016
ID12852,CORRIENTE,87.43,10/08/2016
ID12853,AHORRO,94.03,22/12/2016
ID12853,CORRIENTE,303.70,28/04/2016
ID12855,AHORRO,297.29,05/05/2016
ID12855,CORRIENTE,384.79,16/01/2016
ID12856,CORRIENTE,146.71,05/09/2016
ID12856,CORRIENTE,215.25,28/02/2016
ID12857,AHORRO,331.54,17/02/2016
ID12857,CORRIENTE,493.18,09/03/2016
ID12858,AHORRO,199.52,20/11/2016
ID12858,CORRIENTE,314.28,20/08/2016
ID12858,CORRIENTE,2134.85,26/09/2016
ID12859,AHORRO,174.44,03/10/2016
ID12859,CORRIENTE,95.25,13/05/2016
ID12860,CORRIENTE,347.20,18/11/2016
ID12861,AHORRO,2100.00,26/08/2016
ID12861,CORRIENTE,241.00,07/03/2016
ID12862,CORRIENTE,3000.00,09/10/2016
ID12863,CORRIENTE,250.00,07/02/2016
ID12864,AHORRO,121.00,30/07/2016
ID12864,CORRIENTE,136.00,09/08/2016
ID12865,AHORRO,2188.00,21/12/2016
ID12866,AHORRO,7863.00,21/05/2016
ID12866,CORRIENTE,899.00,19/07/2016
ID12867,AHORRO,2122.00,28/10/2016
ID12867,CORRIENTE,2411.00,26/02/2016
ID12868,AHORRO,10000.00,29/07/2016
ID12868,CORRIENTE,2143.00,17/12/2016
ID12868,CORRIENTE,1000.00,27/05/2016
ID12869,AHORRO,6500.00,22/07/2016
ID12869,CORRIENTE,2100.00,13/07/2016
ID12869,CORRIENTE,1122.00,16/04/2016
ID12870,AHORRO,1212.00,02/05/2016
ID12870,CORRIENTE,998.00,07/11/2016
ID12871,AHORRO,7000.00,18/06/2016
ID12872,CORRIENTE,1121.00,11/02/2016
ID12873,CORRIENTE,123.00,20/05/2016
ID12874,AHORRO,200.00,31/07/2016
ID12874,CORRIENTE,5463.00,23/05/2016
ID12874,CORRIENTE,2110.00,07/03/2016
ID12875,AHORRO,5000.00,06/09/2016
ID12875,CORRIENTE,2413.00,14/05/2016
ID12876,CORRIENTE,200.00,12/06/2016
ID12876,CORRIENTE,233.00,16/01/2016
ID12877,CORRIENTE,500.00,04/02/2016
ID12877,CORRIENTE,1432.00,23/03/2016
ID12878,CORRIENTE,350.00,03/02/2016
ID12878,CORRIENTE,50.00,07/08/2016
ID12878,CORRIENTE,1.00,10/03/2016
ID12879,CORRIENTE,10.00,21/09/2016
ID12880,AHORRO,2431.00,24/12/2016
ID12880,CORRIENTE,500.00,25/07/2016
ID12880,CORRIENTE,214.00,22/04/2016
ID12881,AHORRO,1655.00,03/09/2016
ID12881,CORRIENTE,123.00,13/02/2016
ID12882,CORRIENTE,576.00,08/02/2016
ID12882,CORRIENTE,10.00,23/09/2016
ID12883,AHORRO,250.00,27/03/2016
ID12883,CORRIENTE,1100.00,07/04/2016
ID12883,CORRIENTE,75.00,10/08/2016
ID12884,AHORRO,565.00,22/12/2016
ID12884,CORRIENTE,1500.00,28/04/2016
ID12885,CORRIENTE,5.00,31/05/2016
ID12886,AHORRO,50.00,16/01/2016
ID12886,CORRIENTE,75.00,05/09/2016
ID12887,AHORRO,212.00,28/02/2016
ID12887,CORRIENTE,1040.00,17/02/2016
ID12888,AHORRO,7.00,09/03/2016
ID12888,CORRIENTE,350.00,20/11/2016
ID12889,AHORRO,215.00,20/08/2016
ID12889,CORRIENTE,214.00,26/09/2016
ID12890,AHORRO,1000.00,03/10/2016
ID12890,CORRIENTE,300.00,13/05/2016
ID12891,AHORRO,154.00,18/11/2016
ID12891,CORRIENTE,124.00,26/08/2016
ID12892,AHORRO,50.00,07/03/2016
ID12892,CORRIENTE,1006.00,09/10/2016
ID12892,CORRIENTE,244.00,07/02/2016
ID12893,AHORRO,216.00,30/07/2016
ID12893,CORRIENTE,25.00,09/08/2016
ID12894,AHORRO,540.00,21/12/2016
ID12894,CORRIENTE,1050.00,21/05/2016
ID12895,AHORRO,250.00,19/07/2016
ID12895,CORRIENTE,210.00,28/10/2016
ID12896,AHORRO,134.00,26/02/2016
ID12896,CORRIENTE,500.00,29/07/2016
ID12897,AHORRO,50.00,17/12/2016
ID12898,CORRIENTE,15.00,27/05/2016
ID12899,AHORRO,230.00,22/07/2016
ID12899,CORRIENTE,50.00,13/07/2016
ID12900,AHORRO,1125.00,16/04/2016
ID12900,CORRIENTE,50.00,31/05/2016
ID12900,CORRIENTE,2100.00,07/11/2016
