series_id,country_code,country_name,year,value
VC.PKP.TOTL.UN,XKX,Kosovo,2017,357.0
VC.PKP.TOTL.UN,XKX,Kosovo,2016,462.0
VC.PKP.TOTL.UN,XKX,Kosovo,2015,640.0
VC.PKP.TOTL.UN,XKX,Kosovo,2014,736.0
VC.PKP.TOTL.UN,XKX,Kosovo,2013,756.0
VC.PKP.TOTL.UN,XKX,Kosovo,2012,928.0
VC.PKP.TOTL.UN,XKX,Kosovo,2011,1024.0
VC.PKP.TOTL.UN,XKX,Kosovo,2010,1088.0
VC.PKP.TOTL.UN,XKX,Kosovo,2009,1207.0
VC.PKP.TOTL.UN,WLD,World,2012,56455.0
VC.PKP.TOTL.UN,UMC,Upper middle income,2012,2.0
VC.PKP.TOTL.UN,TLS,Timor-Leste,2011,77824.0
VC.PKP.TOTL.UN,TLS,Timor-Leste,2010,103156.0
VC.PKP.TOTL.UN,TLS,Timor-Leste,2009,110192.0
VC.PKP.TOTL.UN,SYR,Syrian Arab Republic,2017,20685.0
VC.PKP.TOTL.UN,SYR,Syrian Arab Republic,2016,27357.0
VC.PKP.TOTL.UN,SYR,Syrian Arab Republic,2015,31720.0
VC.PKP.TOTL.UN,SYR,Syrian Arab Republic,2014,42780.0
VC.PKP.TOTL.UN,SST,Small states,2012,465.0
VC.PKP.TOTL.UN,SSF,Sub-Saharan Africa (all income levels),2012,46252.0
VC.PKP.TOTL.UN,SSD,South Sudan,2017,323715.0
VC.PKP.TOTL.UN,SSD,South Sudan,2016,422928.0
VC.PKP.TOTL.UN,SSD,South Sudan,2015,521400.0
VC.PKP.TOTL.UN,SSD,South Sudan,2014,525918.0
VC.PKP.TOTL.UN,SSD,South Sudan,2013,414936.0
VC.PKP.TOTL.UN,SSD,South Sudan,2012,415106.0
VC.PKP.TOTL.UN,SSA,Sub-Saharan Africa,2012,46252.0
VC.PKP.TOTL.UN,SOM,Somalia,2016,19503.0
VC.PKP.TOTL.UN,SOM,Somalia,2015,22480.0
VC.PKP.TOTL.UN,SOM,Somalia,2014,552.0
VC.PKP.TOTL.UN,SOM,Somalia,2013,486.0
VC.PKP.TOTL.UN,SOM,Somalia,2012,174.0
VC.PKP.TOTL.UN,SOM,Somalia,2011,384.0
VC.PKP.TOTL.UN,SLE,Sierra Leone,2013,216.0
VC.PKP.TOTL.UN,SLE,Sierra Leone,2012,406.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2016,3267.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2015,5040.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2014,6992.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2013,7614.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2012,25926.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2011,29952.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2010,39440.0
VC.PKP.TOTL.UN,SLB,Solomon Islands,2007,40612.0
VC.PKP.TOTL.UN,SDN,Sudan,2017,350532.0
VC.PKP.TOTL.UN,SDN,Sudan,2010,708288.0
VC.PKP.TOTL.UN,SDN,Sudan,2009,728602.0
VC.PKP.TOTL.UN,SAS,South Asia,2012,23.0
VC.PKP.TOTL.UN,PSS,Pacific island small states,2012,447.0
VC.PKP.TOTL.UN,PSE,West Bank and Gaza,2016,4950.0
VC.PKP.TOTL.UN,OSS,Other small states,2012,18.0
VC.PKP.TOTL.UN,NPL,Nepal,2010,4896.0
VC.PKP.TOTL.UN,NPL,Nepal,2009,5112.0
VC.PKP.TOTL.UN,MNA,Middle East & North Africa,2012,253.0
VC.PKP.TOTL.UN,MLI,Mali,2017,292173.0
VC.PKP.TOTL.UN,MLI,Mali,2016,397881.0
VC.PKP.TOTL.UN,MLI,Mali,2015,466680.0
VC.PKP.TOTL.UN,MLI,Mali,2014,436724.0
VC.PKP.TOTL.UN,MLI,Mali,2013,347706.0
VC.PKP.TOTL.UN,MIC,Middle income,2012,18906.0
VC.PKP.TOTL.UN,MEA,Middle East & North Africa (all income levels),2012,253.0
VC.PKP.TOTL.UN,LMY,Low & middle income,2012,56455.0
VC.PKP.TOTL.UN,LMC,Lower middle income,2012,18904.0
VC.PKP.TOTL.UN,LIC,Low income,2012,37549.0
VC.PKP.TOTL.UN,LDC,Least developed countries: UN classification,2012,37996.0
VC.PKP.TOTL.UN,LCN,Latin America & Caribbean (all income levels),2012,9464.0
VC.PKP.TOTL.UN,LBY,Libya,2015,80.0
VC.PKP.TOTL.UN,LBY,Libya,2014,92.0
VC.PKP.TOTL.UN,LBY,Libya,2013,594.0
VC.PKP.TOTL.UN,LBY,Libya,2012,116.0
